"gender_minority","survey_month","item_label","wtd_mean","n","se","ci_lo","ci_hi"
"Cisgender",2024-07-01,"Express opinions
at work/school",2.4823339770999,1433,0.0381033081297983,2.4076514931655,2.55701646103431
"Cisgender",2024-07-01,"Express political
opinions online",2.20500782021438,1434,0.0381262476776336,2.13028037476622,2.27973526566254
"Cisgender",2024-07-01,"Respond to posts
you disagree with",2.11746337310534,1434,0.036681311650093,2.04556800227115,2.18935874393952
"Cisgender",2024-08-01,"Express opinions
at work/school",2.4981989958159,1443,0.0378782141308312,2.42395769611947,2.57244029551233
"Cisgender",2024-08-01,"Express political
opinions online",2.20838537368236,1443,0.0381450434473652,2.13362108852553,2.2831496588392
"Cisgender",2024-08-01,"Respond to posts
you disagree with",2.11692411641327,1445,0.036676411177974,2.04503835050444,2.18880988232209
"Cisgender",2024-09-01,"Express opinions
at work/school",2.46423391653874,1414,0.0389112507676506,2.38796786503415,2.54049996804334
"Cisgender",2024-09-01,"Express political
opinions online",2.25214063916388,1417,0.0396813362155815,2.17436522018134,2.32991605814642
"Cisgender",2024-09-01,"Respond to posts
you disagree with",2.15231622359692,1416,0.0384511837187261,2.07695190350822,2.22768054368562
"Cisgender",2024-10-01,"Express opinions
at work/school",2.42189435608729,1454,0.0370523838769171,2.34927168368854,2.49451702848605
"Cisgender",2024-10-01,"Express political
opinions online",2.13182888941844,1451,0.0375641268493161,2.05820320079379,2.2054545780431
"Cisgender",2024-10-01,"Respond to posts
you disagree with",2.05281568581972,1454,0.0354557172729951,1.98332247996465,2.12230889167479
"Cisgender",2024-11-01,"Express opinions
at work/school",2.46984662041033,1438,0.037510621554694,2.39632580216312,2.54336743865753
"Cisgender",2024-11-01,"Express political
opinions online",2.21615627801786,1437,0.0373697087744799,2.14291164881988,2.28940090721584
"Cisgender",2024-11-01,"Respond to posts
you disagree with",2.0973624448455,1438,0.0367200660766276,2.02539111533531,2.16933377435569
"Cisgender",2024-12-01,"Express opinions
at work/school",2.54936903842148,1407,0.0389404996358573,2.4730456591352,2.62569241770776
"Cisgender",2024-12-01,"Express political
opinions online",2.21928100781579,1407,0.0383006444496592,2.14421174469446,2.29435027093712
"Cisgender",2024-12-01,"Respond to posts
you disagree with",2.10861627490718,1409,0.036445348077251,2.03718339267577,2.18004915713859
"Cisgender",2025-01-01,"Express opinions
at work/school",2.47321441825903,1434,0.0379113962514991,2.3989080816061,2.54752075491197
"Cisgender",2025-01-01,"Express political
opinions online",2.14705304851312,1435,0.0373489638458667,2.07384907937522,2.22025701765102
"Cisgender",2025-01-01,"Respond to posts
you disagree with",2.09179453600688,1435,0.0367840569105216,2.01969778446225,2.1638912875515
"Cisgender",2025-02-01,"Express opinions
at work/school",2.52928359020308,1459,0.0379043161397332,2.4549911305692,2.60357604983695
"Cisgender",2025-02-01,"Express political
opinions online",2.21221256730237,1459,0.0384340905078211,2.13688174990704,2.28754338469769
"Cisgender",2025-02-01,"Respond to posts
you disagree with",2.12568007517646,1459,0.0367822920024877,2.05358678285159,2.19777336750134
"Cisgender",2025-06-01,"Express opinions
at work/school",2.48203605282514,1455,0.0367099791402144,2.41008449371032,2.55398761193996
"Cisgender",2025-06-01,"Express political
opinions online",2.22307814701,1457,0.0360811250492781,2.15235914191341,2.29379715210658
